WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
22;61;01;1;0933016;05606;ul.;Głęboka;;2019-09-18
22;61;01;1;0933016;05610;ul.;Głogowa;;2019-09-18
22;61;01;1;0933016;05614;ul.;Głogowska;;2019-09-18
22;61;01;1;0933016;05640;ul.;Głucha;;2019-09-18
22;61;01;1;0933016;05647;ul.;Głuszca;;2019-09-18
22;61;01;1;0933016;05670;ul.;Gnieźnieńska;;2019-09-18
22;61;01;1;0933016;05672;ul.;Gnilna;;2019-09-18
22;61;01;1;0933016;05761;ul.;Gołębia;;2019-09-18
22;61;01;1;0933016;05781;ul.;Gołuńska;;2019-09-18
22;61;01;1;0933016;05804;ul.;Goplańska;;2019-09-18
22;61;01;1;0933016;05924;ul.;Góralska;;2019-09-18
22;61;01;1;0933016;05929;ul.;Górecka;;2019-09-18
22;61;01;1;0933016;05934;ul.;Górka;;2019-09-18
22;61;01;1;0933016;05948;ul.;Górna;;2019-09-18
22;61;01;1;0933016;05962;ul.;Górnicza;;2019-09-18
22;61;01;1;0933016;05839;ul.;Gorzowska;;2019-09-18
22;61;01;1;0933016;06002;ul.;Górzysta;;2019-09-18
22;61;01;1;0933016;05876;ul.;Gościnna;;2019-09-18
22;61;01;1;0933016;29574;ul.;Goska;;2019-09-18
22;61;01;1;0933016;05854;ul.;Gospody;;2019-09-18
22;61;01;1;0933016;05860;ul.;Gostyńska;;2019-09-18
22;61;01;1;0933016;29573;ul.;Goszyńska;;2019-09-18
22;61;01;1;0933016;10819;ul.;Lengnicha;Gotfryda;2019-09-18
22;61;01;1;0933016;05894;ul.;Gotycka;;2019-09-18
22;61;01;1;0933016;37025;ul.;Gowidlińska;;2019-09-18
22;61;01;1;0933016;05905;ul.;Goździkowa;;2019-09-18
22;61;01;1;0933016;06029;ul.;Grabowa;;2019-09-18
22;61;01;1;0933016;06057;ul.;Gradowa;;2019-09-18
22;61;01;1;0933016;06077;ul.;Granitowa;;2019-09-18
22;61;01;1;0933016;06083;ul.;Grażyny;;2019-09-18
22;61;01;1;0933016;00547;ul.;Bacewicz;Grażyny;2019-09-18
22;61;01;1;0933016;06116;ul.;Grobla I;;2019-09-18
22;61;01;1;0933016;06117;ul.;Grobla II;;2019-09-18
22;61;01;1;0933016;06118;ul.;Grobla III;;2019-09-18
22;61;01;1;0933016;06119;ul.;Grobla IV;;2019-09-18
22;61;01;1;0933016;06153;ul.;Grodza Kamienna;;2019-09-18
22;61;01;1;0933016;06157;ul.;Grodzieńska;;2019-09-18
22;61;01;1;0933016;06163;ul.;Grodzka;;2019-09-18
22;61;01;1;0933016;06178;ul.;Gronostajowa;;2019-09-18
22;61;01;1;0933016;06179;ul.;Gronowa;;2019-09-18
22;61;01;1;0933016;06183;ul.;Groszkowa;;2019-09-18
22;61;01;1;0933016;06236;ul.;Grudziądzka;;2019-09-18
